x	y 	z	prob	kg/s	T 
427738	4519592	0	1	0.029	300
427753	4519592	0	1	0.016	300
427768	4519592	0	1	0.0092	300
427783	4519592	0	1	0.0062	300
427798	4519592	0	1	0.0041	300
427813	4519592	0	1	0.0034	300
427828	4519592	0	1	0.0022	300
427843	4519592	0	1	0.0013	300
427858	4519592	0	1	0.0011	300
427873	4519592	0	1	0.0011	300
427888	4519592	0	1	0.0014	300
427903	4519592	0	1	0.0022	300
427918	4519592	0	1	0.0035	300
427933	4519592	0	1	0.0067	300
427948	4519592	0	1	0.012	300
427963	4519592	0	1	0.026	300
427978	4519592	0	1	0.041	300
427993	4519592	0	1	0.052	300
428008	4519592	0	1	0.072	300
428023	4519592	0	1	0.085	300
428038	4519592	0	1	0.1	300
428053	4519592	0	1	0.095	300
428068	4519592	0	1	0.074	300
428083	4519592	0	1	0.061	300
428098	4519592	0	1	0.048	300
428113	4519592	0	1	0.037	300
428128	4519592	0	1	0.027	300
428143	4519592	0	1	0.025	300
428158	4519592	0	1	0.018	300
428173	4519592	0	1	0.018	300
428188	4519592	0	1	0.01	300
428203	4519592	0	1	0.0064	300
428218	4519592	0	1	0.005	300
428233	4519592	0	1	0.0031	300
428248	4519592	0	1	0.0027	300
428263	4519592	0	1	0.0018	300
428278	4519592	0	1	0.0022	300
428293	4519592	0	1	0.0022	300
428308	4519592	0	1	0.0019	300
428323	4519592	0	1	0.0023	300
428338	4519592	0	1	0.0021	300
428353	4519592	0	1	0.0034	300
427213	4519607	0	1	0.0052	300
427228	4519607	0	1	0.0054	300
427243	4519607	0	1	0.0069	300
427258	4519607	0	1	0.0054	300
427273	4519607	0	1	0.0061	300
427288	4519607	0	1	0.0058	300
427303	4519607	0	1	0.0044	300
427318	4519607	0	1	0.0032	300
427333	4519607	0	1	0.0022	300
427348	4519607	0	1	0.002	300
427363	4519607	0	1	0.0015	300
427378	4519607	0	1	0.0019	300
427393	4519607	0	1	0.0025	300
427408	4519607	0	1	0.0031	300
427423	4519607	0	1	0.0037	300
427438	4519607	0	1	0.0041	300
427453	4519607	0	1	0.0048	300
427468	4519607	0	1	0.0059	300
427483	4519607	0	1	0.0051	300
427498	4519607	0	1	0.0057	300
427513	4519607	0	1	0.0054	300
427528	4519607	0	1	0.0046	300
427543	4519607	0	1	0.0041	300
427558	4519607	0	1	0.0052	300
427573	4519607	0	1	0.0066	300
427588	4519607	0	1	0.011	300
427603	4519607	0	1	0.015	300
427618	4519607	0	1	0.02	300
427633	4519607	0	1	0.043	300
427648	4519607	0	1	0.069	300
427663	4519607	0	1	0.1	300
427678	4519607	0	1	0.11	300
427693	4519607	0	1	0.12	300
427708	4519607	0	1	0.08	300
427723	4519607	0	1	0.064	300
427738	4519607	0	1	0.04	300
427753	4519607	0	1	0.028	300
427768	4519607	0	1	0.014	300
427783	4519607	0	1	0.011	300
427798	4519607	0	1	0.0063	300
427813	4519607	0	1	0.0037	300
427828	4519607	0	1	0.0026	300
427843	4519607	0	1	0.0017	300
427858	4519607	0	1	0.0011	300
427873	4519607	0	1	0.0011	300
427888	4519607	0	1	0.0013	300
427903	4519607	0	1	0.0022	300
427918	4519607	0	1	0.0043	300
427933	4519607	0	1	0.0055	300
427948	4519607	0	1	0.014	300
427963	4519607	0	1	0.029	300
427978	4519607	0	1	0.05	300
427993	4519607	0	1	0.074	300
428008	4519607	0	1	0.1	300
428023	4519607	0	1	0.12	300
428038	4519607	0	1	0.13	300
